NAME,size_hoc
CHR4Q32,17
CHR4Q13,29
CHR16Q13,9
CHR4Q31,23
CHR4Q22,15
CHR8P23,9
CHR18Q22,12
CHR6Q23,9
CHR9Q21,15
CHR8P11,25
CHR12P12,13
CHR4Q21,12
CHR7Q31,20
CHR6Q24,10
CHR10Q25,18
CHR11Q22,12
CHR6Q22,9
CHR10Q21,7
CHR13Q14,22
CHR13Q12,27
CHR4Q12,10
CHR10Q11,5
CHR12Q14,19
CHR10Q23,8
CHR3P14,23
CHR1P21,11
CHR2P24,14
CHR5P13,9
CHR9P24,17
CHR1P33,2
CHR6P12,5
CHR12P13,25
CHR3Q12,4
CHR11P13,8
CHR8P21,12
CHR7Q21,23
CHR9Q32,15
CHR16Q23,20
CHR17P13,68
CHR3P22,6
CHRXQ23,9
CHR3Q22,19
CHR15Q21,32
CHR2Q24,9
CHR12Q21,14
CHR4P15,27
CHR9Q31,17
CHR6Q25,5
CHR17P11,32
CHR16Q12,13
CHR2P11,5
CHR5Q14,19
CHR9Q22,30
CHR14Q23,16
CHR5Q23,3
CHR7P21,1
CHR11Q23,15
CHR1P31,14
CHR12P11,11
CHR14Q32,12
CHR11Q24,16
CHR1Q22,28
CHR1Q21,76
CHR1Q32,48
CHR1Q23,25
CHR20Q11,53
CHR1Q25,18
CHR5Q35,38
CHR1Q42,37
CHR5Q32,7
CHR7Q36,33
CHR7P13,11
CHR1Q44,14
CHR17Q22,14
CHRXQ26,16
CHR6P21,100
CHR17Q25,58
CHR7Q22,50
CHR20Q13,66
CHR3Q29,19
CHR22Q11,43
CHR20P13,32
CHR5Q12,10
CHR22Q12,44
CHR1Q24,13
CHR18Q12,8
CHRXQ13,12
CHR2P23,40
CHR5Q33,19
CHR8Q24,71
CHR7P22,26
CHR17Q23,25
CHR15Q26,25
CHR5P15,18
CHR12Q24,82
CHR8Q22,28
CHR1Q41,9
CHRXQ24,10
CHR14Q12,18
CHR17Q21,80
CHR16P13,71
CHR16P11,30
CHR22Q13,73
CHR16Q21,15
CHR20P11,22
CHR20P12,10
CHR2Q35,22
CHR3Q27,17
CHR11Q13,69
CHR17Q12,26
CHR17Q11,26
CHR2Q37,34
CHR2Q31,33
CHR1P35,28
CHR15Q24,30
CHR3P25,31
CHRXQ28,38
CHR5Q31,35
CHR14Q11,19
CHR12Q13,44
CHR11Q14,16
CHR19P13,233
CHR3Q21,13
CHR1P34,87
CHR4P16,44
CHR7Q32,25
CHR10P15,5
CHR18P11,12
CHR8Q12,10
CHR15Q22,15
CHR2Q11,38
CHR2P25,14
CHR1P13,31
CHR15Q15,47
CHR2Q33,28
CHR15Q23,8
CHR2Q32,8
CHR11P11,14
CHR7Q33,10
CHR10P12,6
CHR3P21,102
CHR1Q31,3
CHR7P15,16
CHR2P21,15
CHR2P13,39
CHR6Q14,12
CHR2Q21,3
CHR2P16,14
CHR3Q26,16
CHR17Q24,11
CHR10Q22,33
CHR8Q21,24
CHR10Q24,48
CHR2Q14,14
CHR6P22,78
CHR9Q33,38
CHR6P24,11
CHR5Q13,22
CHR16P12,14
CHR1P32,24
CHR7Q11,40
CHR15Q25,23
CHR6P25,9
CHR10Q26,26
CHRXQ22,3
CHR12Q23,25
CHR2P22,15
CHR8Q11,7
CHR9P13,29
CHR7Q34,16
CHR18Q21,30
CHR16Q22,36
CHR14Q22,3
CHR1P22,17
CHR9Q34,69
CHR7P14,16
CHR3Q25,10
CHRXP22,32
CHR13Q34,14
CHR13Q32,6
CHR11P15,47
CHRXP11,42
CHR19Q13,243
CHR16Q24,36
CHR1P36,127
CHR5Q11,2
CHR11Q12,32
CHR21Q22,13
CHR14Q24,27
CHR9P21,4
CHR3Q13,35
CHR6Q21,15
